,Policy type,Event details,Event frequency,Event relevance,Previous attendance,Is presenting,CarbonReduction,LossFromReduction,Reputation,LossFromReputation,Optimal
355,Cap distance,Workshop,High,High,Low,Yes,-0.51172,0.0,0.51539,0.0,No
356,Carbon tax/distance,Workshop,Medium,High,Low,Yes,1.03834,0.0,0.51539,0.0,No
357,Carbon tax/distance,Workshop,High,High,High,No,1.03834,0.0,0.51539,0.0,No
358,Carbon tax/flight,Conference,Low,Low,High,No,0.85948,0.0,-1.94029,0.0,No
359,Cap distance,Conference,Medium,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
360,Carbon tax/distance,Conference,Medium,Medium,High,No,1.03834,0.0,0.51539,0.0,No
361,Carbon tax/flight,Workshop,Low,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
362,Carbon tax/flight,Workshop,Low,Low,High,Yes,0.85948,0.0,0.51539,0.0,No
363,Cap distance,Conference,Medium,Low,High,Yes,-0.51172,0.0,0.51539,0.0,No
364,Cap distance,Conference,High,Medium,High,No,-0.51172,0.0,0.51539,0.0,No
365,Carbon tax/flight,Meetings,Low,Low,Low,No,0.85948,0.0,0.51539,0.0,No
366,Carbon tax/distance,Workshop,High,Medium,Low,Yes,1.03834,0.0,0.51539,0.0,No
367,Carbon tax/flight,Workshop,Low,Medium,Low,Yes,0.85948,0.0,0.51539,0.0,No
368,Carbon tax/flight,Workshop,Medium,Medium,Medium,Yes,0.85948,0.0,0.51539,0.0,No
369,Cap distance,Workshop,Medium,Medium,High,No,-0.51172,0.0,-1.94029,0.0,No
370,Cap distance,Meetings,Medium,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
371,Carbon tax/distance,Conference,High,High,Low,Yes,1.03834,0.0,0.51539,0.0,No
372,Cap distance,Meetings,Low,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
373,Carbon tax/distance,Meetings,High,High,Medium,Yes,1.03834,0.0,0.51539,0.0,No
374,Carbon tax/flight,Conference,Medium,Medium,Low,Yes,0.85948,0.0,0.51539,0.0,No
375,As-is,Workshop,High,Low,Low,No,-1.38611,0.0,-1.94029,0.0,No
376,Cap distance,Conference,Medium,High,High,No,-0.51172,0.0,0.51539,0.0,No
377,As-is,Meetings,Medium,Low,High,Yes,-1.38611,0.0,-1.94029,0.0,No
378,Cap distance,Workshop,High,Low,High,No,-0.51172,0.0,-1.94029,0.0,No
379,Carbon tax/flight,Meetings,High,High,Medium,No,0.85948,0.0,0.51539,0.0,No
380,Cap distance,Workshop,Low,Medium,Low,Yes,-0.51172,0.0,0.51539,0.0,No
381,Cap distance,Conference,High,High,High,Yes,-0.51172,0.0,0.51539,0.0,No
382,Carbon tax/distance,Meetings,Low,Low,Low,Yes,1.03834,0.0,0.51539,0.0,No
383,As-is,Workshop,Low,High,Low,No,-1.38611,0.0,0.51539,0.0,No
384,Cap distance,Meetings,High,Low,Medium,Yes,-0.51172,0.0,-1.94029,0.0,No
385,Carbon tax/distance,Workshop,Medium,Medium,Low,No,1.03834,0.0,0.51539,0.0,No
386,Carbon tax/flight,Conference,Medium,Low,High,Yes,0.85948,0.0,0.51539,0.0,No
387,Carbon tax/distance,Meetings,Medium,Low,Medium,Yes,1.03834,0.0,0.51539,0.0,No
388,As-is,Conference,Medium,Medium,High,Yes,-1.38611,0.0,0.51539,0.0,No
389,As-is,Workshop,Medium,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
390,Carbon tax/distance,Workshop,Medium,Low,High,No,1.03834,0.0,-1.94029,0.0,No
391,Cap distance,Workshop,High,Medium,Low,No,-0.51172,0.0,0.51539,0.0,No
392,Cap distance,Conference,Low,Low,Medium,No,-0.51172,0.0,0.51539,0.0,No
393,Carbon tax/flight,Workshop,Low,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
394,Carbon tax/distance,Workshop,High,High,Medium,Yes,1.03834,0.0,0.51539,0.0,No
395,Cap distance,Workshop,Low,Low,High,Yes,-0.51172,0.0,0.51539,0.0,No
396,Carbon tax/flight,Workshop,High,High,Low,Yes,0.85948,0.0,0.51539,0.0,No
397,As-is,Meetings,High,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
398,Cap distance,Workshop,Medium,Medium,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
399,Carbon tax/flight,Conference,Low,Medium,Low,No,0.85948,0.0,0.51539,0.0,No
400,Carbon tax/flight,Conference,Medium,Medium,Medium,No,0.85948,0.0,0.51539,0.0,No
401,As-is,Workshop,Low,Medium,High,Yes,-1.38611,0.0,0.51539,0.0,No
402,As-is,Conference,Medium,High,Low,No,-1.38611,0.0,0.51539,0.0,No
403,Carbon tax/distance,Workshop,Low,High,High,Yes,1.03834,0.0,0.51539,0.0,No
404,As-is,Workshop,Medium,Low,Medium,Yes,-1.38611,0.0,-1.94029,0.0,No
405,Carbon tax/flight,Workshop,High,Low,High,No,0.85948,0.0,-1.94029,0.0,No
406,Carbon tax/flight,Meetings,Low,High,High,Yes,0.85948,0.0,0.51539,0.0,No
407,Carbon tax/distance,Meetings,Medium,High,Medium,No,1.03834,0.0,0.51539,0.0,No
408,Carbon tax/flight,Workshop,Medium,Low,Low,Yes,0.85948,0.0,0.51539,0.0,No
409,As-is,Conference,High,Medium,Low,No,-1.38611,0.0,0.51539,0.0,No
410,As-is,Workshop,Low,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
411,Carbon tax/distance,Meetings,Low,High,Low,No,1.03834,0.0,0.51539,0.0,No
412,Carbon tax/flight,Workshop,High,Medium,Low,No,0.85948,0.0,0.51539,0.0,No
413,As-is,Conference,Medium,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
414,As-is,Conference,High,Low,High,No,-1.38611,0.0,-1.94029,0.0,No
415,Carbon tax/flight,Meetings,High,Low,Medium,Yes,0.85948,0.0,-1.94029,0.0,No
416,Carbon tax/flight,Workshop,Medium,High,Low,No,0.85948,0.0,0.51539,0.0,No
417,Cap distance,Workshop,Medium,High,Low,No,-0.51172,0.0,0.51539,0.0,No
418,Carbon tax/distance,Conference,High,Medium,High,Yes,1.03834,0.0,0.51539,0.0,No
419,Cap distance,Meetings,High,High,Medium,No,-0.51172,0.0,0.51539,0.0,No
420,As-is,Workshop,High,Medium,Medium,No,-1.38611,0.0,-1.94029,0.0,No
421,Carbon tax/distance,Conference,Medium,High,High,Yes,1.03834,0.0,0.51539,0.0,No
422,As-is,Meetings,Medium,Low,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
423,Cap distance,Workshop,High,High,Medium,No,-0.51172,0.0,0.51539,0.0,No
424,As-is,Meetings,Low,Low,Low,Yes,-1.38611,0.0,0.51539,0.0,No
425,Carbon tax/flight,Workshop,Medium,Medium,High,No,0.85948,0.0,-1.94029,0.0,No
426,As-is,Conference,Low,Low,High,Yes,-1.38611,0.0,0.51539,0.0,No
427,Cap distance,Conference,Low,Medium,Low,No,-0.51172,0.0,0.51539,0.0,No
428,Cap distance,Conference,Medium,Medium,Medium,No,-0.51172,0.0,0.51539,0.0,No
429,As-is,Meetings,High,Low,Low,No,-1.38611,0.0,-1.94029,0.0,No
430,Cap distance,Workshop,Low,High,Medium,Yes,-0.51172,0.0,0.51539,0.0,No
431,Carbon tax/distance,Workshop,Low,Low,Low,No,1.03834,0.0,0.51539,0.0,No
432,Carbon tax/distance,Conference,Low,High,Medium,No,1.03834,0.0,0.51539,0.0,No
433,Carbon tax/distance,Workshop,Medium,Low,Medium,No,1.03834,0.0,-1.94029,0.0,No
434,Cap distance,Conference,High,Low,Low,Yes,-0.51172,0.0,0.51539,0.0,No
435,Carbon tax/flight,Conference,Low,High,Medium,No,0.85948,0.0,0.51539,0.0,No
436,Carbon tax/flight,Meetings,High,Low,High,Yes,0.85948,0.0,-1.94029,0.0,No
437,Cap distance,Meetings,Low,High,High,No,-0.51172,0.0,0.51539,0.0,No
438,Cap distance,Conference,Low,High,Low,Yes,-0.51172,0.0,0.51539,0.0,No
439,As-is,Workshop,Medium,Low,High,Yes,-1.38611,0.0,-1.94029,0.0,No
440,As-is,Workshop,Medium,Medium,Low,Yes,-1.38611,0.0,0.51539,0.0,No
441,As-is,Conference,Low,High,High,No,-1.38611,0.0,0.51539,0.0,No
442,Cap distance,Workshop,High,Low,Medium,Yes,-0.51172,0.0,-1.94029,0.0,No
443,Carbon tax/distance,Conference,Low,Low,Medium,Yes,1.03834,0.0,0.51539,0.0,No
444,As-is,Workshop,Low,Medium,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
445,Carbon tax/distance,Conference,Medium,Low,Low,No,1.03834,0.0,0.51539,0.0,No
446,Cap distance,Meetings,Medium,Medium,High,No,-0.51172,0.0,0.51539,0.0,No
447,As-is,Workshop,Medium,High,High,No,-1.38611,0.0,0.51539,0.0,No
448,As-is,Conference,Medium,Medium,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
449,Carbon tax/flight,Meetings,Medium,High,Low,Yes,0.85948,0.0,0.51539,0.0,No
450,Carbon tax/flight,Conference,Low,Low,Medium,Yes,0.85948,0.0,0.51539,0.0,No
451,As-is,Conference,Low,Medium,Low,Yes,-1.38611,0.0,0.51539,0.0,No
452,As-is,Workshop,High,Medium,High,No,-1.38611,0.0,-1.94029,0.0,No
453,Cap distance,Workshop,Medium,Low,Low,No,-0.51172,0.0,-1.94029,0.0,No
454,Carbon tax/flight,Meetings,High,Medium,Low,Yes,0.85948,0.0,0.51539,0.0,No
455,Cap distance,Conference,Low,Low,High,No,-0.51172,0.0,-1.94029,0.0,No
456,Carbon tax/flight,Meetings,Low,High,Medium,Yes,0.85948,0.0,0.51539,0.0,No
457,Carbon tax/flight,Meetings,High,High,High,No,0.85948,0.0,0.51539,0.0,No
458,Cap distance,Workshop,Low,Medium,Medium,No,-0.51172,0.0,0.51539,0.0,No
459,Cap distance,Conference,Medium,Low,Low,No,-0.51172,0.0,0.51539,0.0,No
460,Carbon tax/flight,Conference,Medium,High,High,Yes,0.85948,0.0,0.51539,0.0,No
461,As-is,Workshop,Low,Low,Medium,No,-1.38611,0.0,-1.94029,0.0,No
462,As-is,Conference,Low,High,Medium,Yes,-1.38611,0.0,0.51539,0.0,No
463,As-is,Workshop,High,High,High,Yes,-1.38611,0.0,0.51539,0.0,No
464,Cap distance,Meetings,Low,Low,High,Yes,-0.51172,0.0,0.51539,0.0,No
465,Carbon tax/flight,Workshop,Medium,High,High,Yes,0.85948,0.0,0.51539,0.0,No
466,As-is,Meetings,Medium,High,Medium,No,-1.38611,0.0,0.51539,0.0,No
467,As-is,Meetings,High,Medium,Medium,No,-1.38611,0.0,0.51539,0.0,No
468,Carbon tax/flight,Conference,High,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
469,Carbon tax/flight,Workshop,High,Medium,High,Yes,0.85948,0.0,0.51539,0.0,No
470,Carbon tax/distance,Conference,Low,Low,High,No,1.03834,0.0,-1.94029,0.0,No
471,Cap distance,Meetings,High,High,Low,Yes,-0.51172,0.0,0.51539,0.0,No
472,Carbon tax/distance,Meetings,Medium,High,High,No,1.03834,0.0,0.51539,0.0,No
